month,region,product,units,revenue,cost,target_revenue,profit
2025-08-01,South,Core,446,24891.64,15793.4,25353.06,9098.24
2025-08-01,South,Plus,445,39511.56,26861.89,40440.44,12649.67
2025-08-01,South,Premium,244,32625.41,17746.48,31067.54,14878.93
2025-08-01,East,Core,545,30834.67,18615.56,33212.67,12219.11
2025-08-01,East,Plus,489,40735.6,28501.61,43785.93,12233.99
2025-08-01,East,Premium,442,54400.74,31709.54,52221.78,22691.2
2025-08-01,West,Core,452,26610.62,16168.1,26685.95,10442.52
2025-08-01,West,Plus,545,46924.86,33186.57,50597.07,13738.29
2025-08-01,West,Premium,491,60543.61,43429.52,64562.16,17114.09
2025-09-01,North,Core,491,25594.58,17662.99,26901.03,7931.59
2025-09-01,North,Plus,249,21551.02,14163.75,20092.82,7387.27
2025-09-01,North,Premium,531,69946.63,40504.12,71144.41,29442.51
2025-09-01,South,Core,352,18881.6,13286.76,20362.78,5594.84
2025-09-01,South,Plus,299,27436.9,19091.69,26996.33,8345.21
2025-09-01,South,Premium,459,54274.62,39068.01,57340.06,15206.61
2025-09-01,East,Core,431,22367.23,15643.79,20924.77,6723.44
2025-09-01,East,Plus,360,29114.47,19662.56,28172.87,9451.91
2025-09-01,East,Premium,386,49622.25,26162.47,46199.89,23459.78
2025-09-01,West,Core,490,27512.95,18716.96,26834.07,8795.99
2025-09-01,West,Plus,221,17631.32,11992.7,19505.2,5638.62
2025-09-01,West,Premium,436,56392.14,38775.01,52874.89,17617.13
2025-10-01,North,Core,354,18471.94,11469.34,19794.27,7002.6
2025-10-01,North,Plus,427,38388.12,21153.49,41059.09,17234.63
2025-10-01,North,Premium,344,41736.39,27628.69,46587.78,14107.7
2025-10-01,South,Core,302,15583.09,10024.01,14617.66,5559.08
2025-10-01,South,Plus,408,35943.63,19935.26,34053.97,16008.37
2025-10-01,South,Premium,374,50349.94,30799.67,54326.35,19550.27
2025-10-01,East,Core,403,22516.58,12362.19,24987.65,10154.39
2025-10-01,East,Plus,390,33703.69,22242.93,35501.93,11460.76
2025-10-01,East,Premium,514,61183.08,38035.72,61597.08,23147.36
2025-10-01,West,Core,585,30498.12,16676.95,29974.6,13821.17
2025-10-01,West,Plus,511,43182.45,27731.66,45366.6,15450.79
2025-10-01,West,Premium,446,55265.95,31143.78,57574.86,24122.17
2025-11-01,North,Core,325,16720.44,10093.8,17056.27,6626.64
2025-11-01,North,Plus,514,44383.3,28101.48,47196.33,16281.82
2025-11-01,North,Premium,395,50750.83,29600.06,54791.21,21150.77
2025-11-01,South,Core,510,27901.69,18002.24,27860.53,9899.45
2025-11-01,South,Plus,438,38738.03,27011.28,42805.56,11726.75
2025-11-01,South,Premium,415,52292.14,35557.3,51755.92,16734.84
2025-11-01,East,Core,347,19163.65,10409.15,18084.57,8754.5
2025-11-01,East,Plus,512,40836.35,23526.73,40570.29,17309.62
2025-11-01,East,Premium,393,47999.25,32089.35,44773.21,15909.9
2025-11-01,West,Core,250,14554.13,8651.74,13960.12,5902.39
2025-11-01,West,Plus,358,28846.15,17105.3,32079.85,11740.85
2025-11-01,West,Premium,625,81704.35,47567.64,86660.24,34136.71
2025-12-01,North,Core,287,15598.36,10110.51,14538.27,5487.85
2025-12-01,North,Plus,487,41757.75,23081.61,40151.01,18676.14
2025-12-01,North,Premium,496,66858.94,42200.95,72837.68,24657.99
2025-12-01,South,Core,533,27885.58,17000.42,28013.54,10885.16
2025-12-01,South,Plus,543,48153.49,29217.41,49076.69,18936.08
2025-12-01,South,Premium,389,46540.88,32644.74,43677.84,13896.14
2025-12-01,East,Core,286,15318.01,9467.14,15952.55,5850.87
2025-12-01,East,Plus,216,17306.45,9842.76,18868.91,7463.69
2025-12-01,East,Premium,441,56633.9,37040.87,60878.7,19593.03
2025-12-01,West,Core,437,23674.26,14865.2,23539.48,8809.06
2025-12-01,West,Plus,452,38511.67,25946.29,42050.24,12565.38
2025-12-01,West,Premium,412,54921.29,35008.19,59949.45,19913.1
